"Name","Display","Dlt","Std"
"Mexico Standard Time 2","(GMT-07:00) 치와와, 라파스, 마사틀란 - 이전 시간대","멕시코 일광 절약 시간제 2","멕시코 표준시 2"
"Mid-Atlantic Standard Time","(GMT-02:00) 중부-대서양","중부 대서양 일광 절약 시간제","중부 대서양 표준시"
"Middle East Standard Time","(GMT+02:00) 베이루트","중동 일광 절약 시간","중동 표준시"
"Montevideo Standard Time","(GMT-03:00) 몬테비디오","몬테비디오 일광 절약 시간","몬테비디오 표준시"
"Morocco Standard Time","(GMT) 카사블랑카","모로코 일광 절약 시간","모로코 표준시"
"Mountain Standard Time","(GMT-07:00) 산지 표준시 (미국과 캐나다)","산지 일광 절약 시간제","산지 표준시"
"Mountain Standard Time (Mexico)","(GMT-07:00) 치와와, 라파스, 마사틀란 - 새 시간대","산지 일광 절약 시간(멕시코)","산지 표준시(멕시코)"
"Myanmar Standard Time","(GMT+06:30) 양곤","미얀마 일광 절약 시간제","미얀마 표준시"
"N. Central Asia Standard Time","(GMT+07:00) 노보시비르스크","북부 중앙 아시아 일광 절약 시간제","북부 중앙 아시아 표준시"
"Namibia Standard Time","(GMT+01:00) 빈트후크","나미비아 일광 절약 시간","나미비아 표준시"
"Nepal Standard Time","(GMT+05:45) 카트만두","네팔 일광 절약 시간제","네팔 표준시"
"New Zealand Standard Time","(GMT+12:00) 오클랜드, 웰링턴","뉴질랜드 일광 절약 시간제","뉴질랜드 표준시"
"Newfoundland Standard Time","(GMT-03:30) 뉴펀들랜드","뉴펀들랜드 일광 절약 시간제","뉴펀들랜드 표준시"
"North Asia East Standard Time","(GMT+09:00) 이르쿠츠크","북아시아 동부 일광 절약 시간제","북아시아 동부 표준시"
"North Asia Standard Time","(GMT+08:00) 크라스노야르스크","북아시아 일광 절약 시간제","북아시아 표준시"
"Pacific SA Standard Time","(GMT-04:00) 산티아고","태평양 SA 일광 절약 시간제","태평양 SA 표준시"
"Pacific Standard Time","(GMT-08:00) 태평양 표준시 (미국과 캐나다)","태평양 일광 절약 시간제","태평양 표준시"
"Pacific Standard Time (Mexico)","(GMT-08:00) 바하 캘리포니아","태평양 일광 절약 시간(멕시코)","태평양 표준시(멕시코)"
"Pakistan Standard Time","(GMT+05:00) 이슬라마바드, 카라치","파키스탄 일광 절약 시간","파키스탄 표준시"
"Paraguay Standard Time","(GMT-04:00) 아순시온","파라과이 일광 절약 시간","파라과이 표준시"
"Romance Standard Time","(GMT+01:00) 브뤼셀, 코펜하겐, 마드리드, 파리","로망스 일광 절약 시간제","로망스 표준시"
"Russian Standard Time","(GMT+04:00) 모스크바, 상트페테르부르크, 볼고그라드","러시아 일광 절약 시간제","러시아 표준시"
"SA Eastern Standard Time","(GMT-03:00) 카옌, 포르탈레자","SA 동부 일광 절약 시간제","SA 동부 표준시"
"SA Pacific Standard Time","(GMT-05:00) 보고타, 리마, 키토","SA 태평양 일광 절약 시간제","SA 태평양 표준시"
"SA Western Standard Time","(GMT-04:00) 조지타운, 라파스, 마노스, 산후안","SA 서부 일광 절약 시간제","SA 서부 표준시"
"Samoa Standard Time","(GMT+13:00) 사모아","사모아 일광 절약 시간제","사모아 표준시"
"SE Asia Standard Time","(GMT+07:00) 방콕, 하노이, 자카르타","동남 아시아 일광 절약 시간제","동남 아시아 표준시"
"Singapore Standard Time","(GMT+08:00) 쿠알라룸푸, 싱가포르","말레이 반도 일광 절약 시간제","말레이 반도 표준시"
